0.05	-70.0101	-70.0029	-70.0006	-69.9999	-69.9998	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9996	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9996	-69.9996	-69.9995	-69.9995	-69.9995	-69.9996	-69.9995	-69.9996	-69.9996	-69.9996
0.055	-70.0114	-70.0035	-70.0007	-70	-69.9998	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9996	-69.9995	-69.9995	-69.9995	-69.9994	-69.9995	-69.9995	-69.9995	-69.9996	-69.9994	-69.9994	-69.9995	-69.9995	-69.9995	-69.9995	-69.9996	-69.9995
0.06	-70.0126	-70.0041	-70.001	-70	-69.9998	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9996	-69.9995	-69.9995	-69.9994	-69.9994	-69.9994	-69.9994	-69.9995	-69.9995	-69.9994	-69.9994	-69.9994	-69.9995	-69.9994	-69.9995	-69.9996	-69.9995
0.065	-70.0139	-70.0047	-70.0012	-70.0001	-69.9998	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9996	-69.9996	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9996	-69.9995	-69.9994	-69.9994	-69.9994	-69.9994	-69.9994	-69.9994	-69.9995	-69.9994	-69.9994	-69.9994	-69.9995	-69.9994	-69.9995	-69.9995	-69.9995
0.07	-70.0152	-70.0053	-70.0015	-70.0002	-69.9998	-69.9997	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9995	-69.9994	-69.9994	-69.9993	-69.9993	-69.9993	-69.9994	-69.9994	-69.9995	-69.9993	-69.9993	-69.9994	-69.9994	-69.9994	-69.9994	-69.9995	-69.9994
0.075	-70.0165	-70.006	-70.0018	-70.0003	-69.9998	-69.9997	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9995	-69.9994	-69.9993	-69.9993	-69.9993	-69.9993	-69.9993	-69.9994	-69.9994	-69.9993	-69.9993	-69.9993	-69.9994	-69.9993	-69.9994	-69.9995	-69.9994
0.08	-70.0178	-70.0067	-70.0021	-70.0004	-69.9998	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9995	-69.9994	-69.9993	-69.9993	-69.9993	-69.9993	-69.9993	-69.9993	-69.9994	-69.9993	-69.9993	-69.9993	-69.9994	-69.9993	-69.9994	-69.9994	-69.9994
0.085	-70.019	-70.0074	-70.0024	-70.0005	-69.9998	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9995	-69.9995	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9995	-69.9994	-69.9993	-69.9992	-69.9992	-69.9992	-69.9993	-69.9993	-69.9994	-69.9992	-69.9992	-69.9993	-69.9993	-69.9993	-69.9993	-69.9994	-69.9993
0.09	-70.0203	-70.0081	-70.0027	-70.0006	-69.9999	-69.9996	-69.9996	-69.9996	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9994	-69.9993	-69.9993	-69.9992	-69.9992	-69.9992	-69.9992	-69.9993	-69.9993	-69.9992	-69.9992	-69.9992	-69.9993	-69.9992	-69.9993	-69.9994	-69.9993
0.095	-70.0216	-70.0089	-70.0031	-70.0008	-69.9999	-69.9996	-69.9996	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9995	-69.9994	-69.9993	-69.9992	-69.9992	-69.9992	-69.9992	-69.9992	-69.9992	-69.9993	-69.9992	-69.9992	-69.9992	-69.9993	-69.9992	-69.9993	-69.9993	-69.9993
